,daily,weekly,holiday,Cloudy,Foggy,Showers,Sunny,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,total_litter
2021/1/6,1,0,0,0,0,0,1,0.032351901,0.030061892,0.034482759,0.027409372,0.035366932,0.013262599,0.028832891,0.031830239,0.028293546,0.026595933,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,3
2021/1/7,1,0,0,0,0,1,0,0.033191866,0.030061892,0.036251105,0.027409372,0.035366932,0.014146773,0.031237843,0.032714412,0.028293546,0.026489832,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,2
2021/1/8,1,0,0,0,0,1,0,0.031794872,0.026525199,0.036251105,0.027409372,0.035366932,0.006189213,0.030141468,0.031830239,0.026525199,0.026640141,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,114
2021/1/9,1,0,1,0,1,0,0,0.02867374,0.022104332,0.038019452,0.027409372,0.035366932,0.007073386,0.026145004,0.032714412,0.022104332,0.026772767,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,58
2021/1/10,1,1,0,1,0,0,0,0.03204244,0.024756852,0.036251105,0.027409372,0.035366932,0.01061008,0.029239611,0.032714412,0.023872679,0.026772767,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,49
2021/1/11,1,0,0,1,0,0,0,0.037515473,0.034482759,0.040671972,0.027409372,0.035366932,0.021220159,0.03351901,0.038019452,0.031830239,0.026640141,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,181
2021/1/12,1,0,0,0,0,1,0,0.037444739,0.030061892,0.040671972,0.027409372,0.035366932,0.021220159,0.033306808,0.039787798,0.024756852,0.026516357,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,3
2021/1/13,1,0,0,0,0,0,1,0.035632184,0.031830239,0.038019452,0.027409372,0.035366932,0.018567639,0.03025641,0.032714412,0.026525199,0.026542882,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,1
2021/1/14,1,0,0,0,0,0,1,0.031768347,0.030061892,0.034482759,0.027409372,0.035366932,0.013262599,0.025755968,0.028293546,0.023872679,0.026719717,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,2
2021/1/31,1,1,0,0,0,0,1,0.026852343,0.022104332,0.031830239,0.027409372,0.035366932,0.012378426,0.021724138,0.023872679,0.020335986,0.026251105,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,1
2021/2/3,1,0,0,0,0,1,0,0.04132626,0.039787798,0.044208665,0.027409372,0.036251105,0.017683466,0.039964633,0.040671972,0.038019452,0.026145004,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,51
2021/2/5,1,0,0,0,0,1,0,0.038868258,0.036251105,0.042440318,0.027409372,0.036251105,0.01061008,0.037170645,0.039787798,0.034482759,0.026410256,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,260
2021/2/11,1,0,0,0,0,0,1,0.020371353,0.012378426,0.028293546,0.027409372,0.036251105,0.00795756,0.014650752,0.016799293,0.01061008,0.026958444,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,28
2021/2/16,1,0,0,0,0,0,1,0.03882405,0.032714412,0.044208665,0.027409372,0.037135279,0.015030946,0.0356145,0.039787798,0.031830239,0.026640141,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,319
2021/2/17,1,0,0,1,0,0,0,0.042228117,0.038019452,0.045977011,0.027409372,0.037135279,0.018567639,0.039018568,0.040671972,0.036251105,0.026489832,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,184
2021/2/18,1,0,0,0,0,0,1,0.041812555,0.036251105,0.045977011,0.027409372,0.037135279,0.018567639,0.036666667,0.040671972,0.032714412,0.026463307,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,119
2021/2/19,1,0,0,0,0,0,1,0.038691424,0.032714412,0.044208665,0.027409372,0.037135279,0.015915119,0.034518126,0.038019452,0.031830239,0.026489832,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,297
2021/2/20,1,0,1,0,0,0,1,0.046993811,0.042440318,0.053934571,0.027409372,0.038019452,0.017683466,0.039381079,0.040671972,0.038019452,0.026410256,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,265
2021/2/21,1,1,0,0,0,0,1,0.045897436,0.040671972,0.053934571,0.027409372,0.038019452,0.013262599,0.038443855,0.040671972,0.036251105,0.026463307,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,94
2021/2/22,1,0,0,0,0,0,1,0.046286472,0.040671972,0.053934571,0.027409372,0.038019452,0.012378426,0.036675508,0.039787798,0.032714412,0.026719717,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,192
2021/2/23,1,0,0,0,0,0,1,0.047842617,0.040671972,0.053934571,0.028293546,0.038019452,0.018567639,0.041494253,0.044208665,0.038019452,0.026852343,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,87
2021/2/24,1,0,0,0,0,0,1,0.049513705,0.042440318,0.056587091,0.028293546,0.038019452,0.015915119,0.040848806,0.044208665,0.039787798,0.026825818,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,156
2021/2/25,1,0,0,0,0,0,1,0.044535809,0.039787798,0.052166225,0.028293546,0.038903625,0.014146773,0.039690539,0.042440318,0.034482759,0.026905393,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,20
2021/2/26,1,0,0,0,0,0,1,0.037904509,0.032714412,0.044208665,0.028293546,0.038903625,0.014146773,0.033810787,0.036251105,0.031830239,0.027117595,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,179
2021/2/27,1,0,1,0,1,0,0,0.036286472,0.028293546,0.044208665,0.028293546,0.038903625,0.00795756,0.033465959,0.036251105,0.028293546,0.027197171,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,305
2021/2/28,1,1,0,0,1,0,0,0.0343855,0.024756852,0.044208665,0.028293546,0.038903625,0.01061008,0.031538462,0.034482759,0.024756852,0.027170645,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,47
2021/3/1,1,0,0,0,1,0,0,0.037400531,0.031830239,0.044208665,0.028293546,0.039787798,0.012378426,0.033351017,0.034482759,0.031830239,0.027038019,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,82
2021/3/4,1,0,0,0,1,0,0,0.035137047,0.032714412,0.038019452,0.029177719,0.039787798,0.013262599,0.030795756,0.032714412,0.024756852,0.026746242,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,45
2021/3/5,1,0,0,0,0,0,1,0.033598585,0.028293546,0.039787798,0.029177719,0.039787798,0.011494253,0.024580018,0.028293546,0.020335986,0.027011494,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,61
2021/3/7,1,1,0,1,0,0,0,0.032210433,0.024756852,0.038019452,0.029177719,0.040671972,0.008841733,0.025605659,0.028293546,0.023872679,0.026905393,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,86
2021/3/8,1,0,0,0,0,0,1,0.035888594,0.032714412,0.040671972,0.029177719,0.040671972,0.013262599,0.030212202,0.032714412,0.028293546,0.026746242,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,63
2021/3/9,1,0,0,1,0,0,0,0.037709991,0.034482759,0.039787798,0.029177719,0.040671972,0.013262599,0.034058355,0.036251105,0.030061892,0.026622458,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,60
2021/3/10,1,0,0,0,0,1,0,0.037020336,0.030061892,0.042440318,0.029177719,0.041556145,0.024756852,0.032847038,0.036251105,0.028293546,0.026595933,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,39
2021/3/12,1,0,0,0,0,0,1,0.039354553,0.036251105,0.042440318,0.030061892,0.041556145,0.026525199,0.033952255,0.036251105,0.031830239,0.02622458,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,128
2021/3/14,1,1,0,1,0,0,0,0.039036251,0.036251105,0.040671972,0.030061892,0.042440318,0.018567639,0.033501326,0.036251105,0.031830239,0.026410256,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,125
2021/3/16,1,0,0,0,0,1,0,0.037365164,0.034482759,0.039787798,0.030061892,0.042440318,0.011494253,0.034102564,0.036251105,0.032714412,0.026746242,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,98
2021/3/17,1,0,0,1,0,0,0,0.037197171,0.032714412,0.040671972,0.030061892,0.042440318,0.013262599,0.032979664,0.034482759,0.030061892,0.026878868,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,49
2021/3/18,1,0,0,1,0,0,0,0.035791335,0.030061892,0.040671972,0.030061892,0.042440318,0.014146773,0.032749779,0.038019452,0.028293546,0.026852343,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,167
2021/3/21,1,1,0,1,0,0,0,0.03882405,0.034482759,0.040671972,0.030946065,0.043324492,0.017683466,0.032484527,0.038019452,0.030061892,0.026772767,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,77
2021/3/23,1,0,0,1,0,0,0,0.038426172,0.031830239,0.045977011,0.030946065,0.044208665,0.013262599,0.034022989,0.038019452,0.030061892,0.026772767,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,104
2021/3/24,1,0,0,0,0,0,1,0.039823165,0.030061892,0.048629531,0.030946065,0.044208665,0.015030946,0.03382847,0.038019452,0.030061892,0.026719717,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,119
2021/3/25,1,0,0,0,0,0,1,0.041405836,0.036251105,0.047745358,0.030946065,0.044208665,0.015915119,0.034633068,0.040671972,0.024756852,0.026640141,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,110
2021/3/26,1,0,0,0,0,0,1,0.044111406,0.038019452,0.050397878,0.030946065,0.044208665,0.022104332,0.035596817,0.038019452,0.032714412,0.026595933,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,153
2021/3/29,1,0,0,0,0,0,1,0.047356322,0.040671972,0.056587091,0.030946065,0.045092838,0.018567639,0.036587091,0.040671972,0.030061892,0.026878868,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,90
2021/3/30,1,0,0,0,0,0,1,0.048054819,0.031830239,0.061892131,0.031830239,0.045092838,0.008841733,0.034465075,0.039787798,0.028293546,0.026931919,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,94
2021/3/31,1,0,0,0,0,0,1,0.050954907,0.036251105,0.064544651,0.031830239,0.045092838,0.008841733,0.035959328,0.039787798,0.032714412,0.026772767,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,186
2021/4/3,1,0,1,1,0,0,0,0.039416446,0.036251105,0.044208665,0.031830239,0.045977011,0.013262599,0.030468612,0.032714412,0.028293546,0.026878868,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,147
2021/4/8,1,0,0,0,0,0,1,0.036949602,0.030061892,0.044208665,0.032714412,0.046861185,0.018567639,0.026763926,0.031830239,0.023872679,0.026693192,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,181
2021/4/11,1,1,0,1,0,0,0,0.035145889,0.030061892,0.040671972,0.032714412,0.047745358,0.015915119,0.028700265,0.031830239,0.024756852,0.026666667,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,85
2021/4/12,1,0,0,1,0,0,0,0.033651636,0.028293546,0.039787798,0.032714412,0.047745358,0.015915119,0.028293546,0.031830239,0.024756852,0.026905393,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,113
2021/4/13,1,0,0,0,0,0,1,0.035879752,0.026525199,0.044208665,0.032714412,0.047745358,0.012378426,0.026507515,0.031830239,0.022104332,0.026984969,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,175
2021/4/14,1,0,0,1,0,0,0,0.035738285,0.030061892,0.040671972,0.033598585,0.047745358,0.013262599,0.028187445,0.031830239,0.024756852,0.026958444,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,42
2021/4/15,1,0,0,0,0,0,1,0.036657825,0.028293546,0.044208665,0.033598585,0.048629531,0.014146773,0.027922193,0.031830239,0.024756852,0.026958444,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,72
2021/4/16,1,0,0,0,0,0,1,0.039018568,0.028293546,0.047745358,0.033598585,0.048629531,0.013262599,0.028885942,0.032714412,0.024756852,0.026931919,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,119
2021/4/17,1,0,1,0,0,0,1,0.039363395,0.030061892,0.047745358,0.033598585,0.048629531,0.012378426,0.030486295,0.034482759,0.026525199,0.026878868,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,159
2021/4/18,1,1,0,0,0,0,1,0.041264368,0.030061892,0.050397878,0.033598585,0.049513705,0.011494253,0.034668435,0.039787798,0.030061892,0.026746242,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,190
2021/4/19,1,0,0,0,0,0,1,0.043156499,0.032714412,0.052166225,0.034482759,0.049513705,0.01061008,0.037170645,0.040671972,0.031830239,0.026693192,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,41
2021/4/20,1,0,0,0,0,0,1,0.046710875,0.038019452,0.055702918,0.034482759,0.049513705,0.01061008,0.037966401,0.040671972,0.034482759,0.026622458,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,120
2021/4/22,1,0,0,0,0,0,1,0.038549956,0.031830239,0.045977011,0.034482759,0.050397878,0.014146773,0.029071618,0.031830239,0.026525199,0.026852343,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,90
2021/4/24,1,0,1,1,0,0,0,0.041025641,0.034482759,0.047745358,0.035366932,0.050397878,0.015030946,0.031865606,0.036251105,0.026525199,0.026878868,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,140
2021/4/25,1,1,0,1,0,0,0,0.039787798,0.034482759,0.044208665,0.035366932,0.050397878,0.011494253,0.029513705,0.031830239,0.028293546,0.026878868,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,217
2021/4/26,1,0,0,0,0,0,1,0.039328028,0.031830239,0.045977011,0.035366932,0.051282051,0.014146773,0.028647215,0.031830239,0.023872679,0.026799293,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,34
2021/4/27,1,0,1,0,0,0,1,0.043324492,0.031830239,0.052166225,0.035366932,0.051282051,0.012378426,0.028143236,0.031830239,0.024756852,0.026542882,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,112
2021/4/28,1,0,0,0,0,0,1,0.044960212,0.038019452,0.052166225,0.036251105,0.051282051,0.015915119,0.030194518,0.034482759,0.024756852,0.026330681,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,67
2021/5/1,1,0,1,1,0,0,0,0.040044209,0.032714412,0.045977011,0.036251105,0.052166225,0.014146773,0.034394341,0.038019452,0.031830239,0.026516357,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,99
2021/5/2,1,1,0,1,0,0,0,0.039018568,0.031830239,0.045977011,0.037135279,0.052166225,0.017683466,0.031476569,0.034482759,0.028293546,0.026640141,0.112290009,0.032714412,0.012378426,0.094606543,0.013262599,0.025641026,0.013262599,0.123784262,1,0.548187445,0.016799293,231
