date,weather
2021/1/1,Foggy
2021/1/2,Foggy
2021/1/3,Foggy
2021/1/4,Showers
2021/1/5,Showers
2021/1/6,Sunny
2021/1/7,Showers
2021/1/8,Showers
2021/1/9,Foggy
2021/1/10,Cloudy
2021/1/11,Cloudy
2021/1/12,Showers
2021/1/13,Sunny
2021/1/14,Sunny
2021/1/15,Cloudy
2021/1/16,Snow
2021/1/17,Sunny
2021/1/18,Cloudy
2021/1/19,Showers
2021/1/20,Cloudy
2021/1/21,Showers
2021/1/22,Sunny
2021/1/23,Sunny
2021/1/24,Sunny
2021/1/25,Sunny
2021/1/26,Showers
2021/1/27,Showers
2021/1/28,Showers
2021/1/29,Cloudy
2021/1/30,Sunny
2021/1/31,Sunny
2021/2/1,Foggy
2021/2/2,Showers
2021/2/3,Showers
2021/2/4,Sunny
2021/2/5,Showers
2021/2/6,Foggy
2021/2/7,Snow
2021/2/8,Snow
2021/2/9,Cloudy
2021/2/10,Sunny
2021/2/11,Sunny
2021/2/12,Sunny
2021/2/13,Sunny
2021/2/14,Sunny
2021/2/15,Showers
2021/2/16,Sunny
2021/2/17,Cloudy
2021/2/18,Sunny
2021/2/19,Sunny
2021/2/20,Sunny
2021/2/21,Sunny
2021/2/22,Sunny
2021/2/23,Sunny
2021/2/24,Sunny
2021/2/25,Sunny
2021/2/26,Sunny
2021/2/27,Foggy
2021/2/28,Foggy
2021/3/1,Foggy
2021/3/2,Sunny
2021/3/3,Foggy
2021/3/4,Foggy
2021/3/5,Sunny
2021/3/6,Cloudy
2021/3/7,Cloudy
2021/3/8,Sunny
2021/3/9,Cloudy
2021/3/10,Showers
2021/3/11,Cloudy
2021/3/12,Sunny
2021/3/13,Showers
2021/3/14,Cloudy
2021/3/15,Cloudy
2021/3/16,Showers
2021/3/17,Cloudy
2021/3/18,Cloudy
2021/3/19,Sunny
2021/3/20,Sunny
2021/3/21,Cloudy
2021/3/22,Cloudy
2021/3/23,Cloudy
2021/3/24,Sunny
2021/3/25,Sunny
2021/3/26,Sunny
2021/3/27,Sunny
2021/3/28,Cloudy
2021/3/29,Sunny
2021/3/30,Sunny
2021/3/31,Sunny
2021/4/1,Sunny
2021/4/2,Cloudy
2021/4/3,Cloudy
2021/4/4,Cloudy
2021/4/5,Cloudy
2021/4/6,Cloudy
2021/4/7,Snow
2021/4/8,Sunny
2021/4/9,Sunny
2021/4/10,Showers
2021/4/11,Cloudy
2021/4/12,Cloudy
2021/4/13,Sunny
2021/4/14,Cloudy
2021/4/15,Sunny
2021/4/16,Sunny
2021/4/17,Sunny
2021/4/18,Sunny
2021/4/19,Sunny
2021/4/20,Sunny
2021/4/21,Sunny
2021/4/22,Sunny
2021/4/23,Cloudy
2021/4/24,Cloudy
2021/4/25,Cloudy
2021/4/26,Sunny
2021/4/27,Sunny
2021/4/28,Sunny
2021/4/29,Showers
2021/4/30,Showers
2021/5/1,Cloudy
2021/5/2,Cloudy
2021/5/3,Sunny
2021/5/4,Showers
2021/5/5,Showers
2021/5/6,Sunny
2021/5/7,Cloudy
2021/5/8,Sunny
2021/5/9,Sunny
2021/5/10,Sunny
2021/5/11,Sunny
2021/5/12,Sunny
2021/5/13,Sunny
2021/5/14,Sunny
2021/5/15,Cloudy
2021/5/16,Showers
2021/5/17,Showers
2021/5/18,Sunny
2021/5/19,Sunny
2021/5/20,Sunny
2021/5/21,Showers
2021/5/22,Showers
2021/5/23,Cloudy
2021/5/24,Showers
2021/5/25,Showers
2021/5/26,Cloudy
2021/5/27,Showers
2021/5/28,Sunny
2021/5/29,Sunny
2021/5/30,Sunny
2021/5/31,Sunny
2021/6/1,Sunny
2021/6/2,Sunny
2021/6/3,Sunny
2021/6/4,Sunny
2021/6/5,Cloudy
2021/6/6,Sunny
2021/6/7,Sunny
2021/6/8,Sunny
2021/6/9,Sunny
2021/6/10,Sunny
2021/6/11,Foggy
2021/6/12,Sunny
2021/6/13,Sunny
2021/6/14,Sunny
2021/6/15,Sunny
2021/6/16,Sunny
