,daily,weekly,holiday,0,1,2,3,4,5,6,7,8,total_litter
2022-01-01,1.0,1.0,1.0,0.0034482758620689655,0.0,0.006896551724137931,0.041379310344827586,0.1103448275862069,0.013793103448275862,0.09655172413793103,0.0,0.020689655172413793,57.0
2022-01-02,1.0,0.0,0.0,0.0034482758620689655,0.006896551724137931,0.0,0.02413793103448276,0.05862068965517241,0.034482758620689655,0.06896551724137931,0.0,0.03793103448275862,48.0
2022-01-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.006896551724137931,0.0,0.0,2.0
2022-01-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.12413793103448276,0.010344827586206896,0.07586206896551724,0.0,0.0034482758620689655,41.0
2022-01-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,2.0
2022-01-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.006896551724137931,0.0,0.0034482758620689655,3.0
2022-01-13,1.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0,0.09655172413793103,0.02413793103448276,0.06896551724137931,0.0,0.027586206896551724,44.0
2022-01-15,1.0,1.0,1.0,0.0,0.0,0.0034482758620689655,0.013793103448275862,0.15172413793103448,0.0,0.13448275862068965,0.0,0.006896551724137931,51.0
2022-01-17,1.0,0.0,0.0,0.0034482758620689655,0.006896551724137931,0.013793103448275862,0.041379310344827586,0.15517241379310345,0.02413793103448276,0.1413793103448276,0.0,0.034482758620689655,81.0
2022-01-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020689655172413793,0.010344827586206896,0.010344827586206896,0.0,0.013793103448275862,13.0
2022-01-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.010344827586206896,0.006896551724137931,0.0034482758620689655,0.041379310344827586,18.0
2022-01-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013793103448275862,0.020689655172413793,0.013793103448275862,0.0,0.020689655172413793,16.0
2022-01-21,1.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.0,0.0,0.027586206896551724,0.013793103448275862,0.010344827586206896,0.0,0.03103448275862069,23.0
2022-01-22,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0,0.0,0.0,1.0
2022-01-23,1.0,0.0,0.0,0.027586206896551724,0.03793103448275862,0.0,0.0034482758620689655,0.027586206896551724,0.017241379310344827,0.020689655172413793,0.0,0.04827586206896552,47.0
2022-01-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0,0.0,1.0
2022-01-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,1.0
2022-01-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,1.0
2022-01-30,1.0,0.0,0.0,0.010344827586206896,0.0034482758620689655,0.0,0.0034482758620689655,0.034482758620689655,0.013793103448275862,0.03103448275862069,0.0,0.006896551724137931,21.0
2022-02-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010344827586206896,0.0,0.0,0.0,0.0,3.0
2022-02-02,1.0,0.0,0.0,0.30344827586206896,0.0,0.0,0.03103448275862069,0.0034482758620689655,0.0,0.027586206896551724,0.0,0.0,98.0
2022-02-05,1.0,1.0,1.0,0.034482758620689655,0.027586206896551724,0.006896551724137931,0.020689655172413793,0.16206896551724137,0.11724137931034483,0.13448275862068965,0.0,0.45517241379310347,239.0
2022-02-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027586206896551724,0.0,0.013793103448275862,0.0,0.0034482758620689655,9.0
2022-02-07,1.0,0.0,0.0,0.04482758620689655,0.010344827586206896,0.0034482758620689655,0.03103448275862069,0.13103448275862067,0.006896551724137931,0.11724137931034483,0.0034482758620689655,0.05517241379310345,83.0
2022-02-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,1.0
2022-02-12,1.0,1.0,1.0,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.006896551724137931,0.03793103448275862,0.04827586206896552,0.03793103448275862,0.0,0.04827586206896552,44.0
2022-02-13,1.0,0.0,0.0,0.0,0.0,0.0,0.04482758620689655,0.0896551724137931,0.0,0.10344827586206896,0.0034482758620689655,0.0,40.0
2022-02-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.006896551724137931,0.0,0.0,2.0
2022-02-15,1.0,0.0,0.0,0.18620689655172412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
2022-02-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,1.0
2022-02-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.0,0.0034482758620689655,0.0,0.0034482758620689655,3.0
2022-02-22,1.0,0.0,0.0,0.0,0.006896551724137931,0.0034482758620689655,0.0034482758620689655,0.05862068965517241,0.0034482758620689655,0.06206896551724138,0.0,0.0034482758620689655,23.0
2022-02-23,1.0,0.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.0,0.020689655172413793,0.0034482758620689655,0.017241379310344827,0.0,0.0,9.0
2022-02-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.03103448275862069,0.0034482758620689655,0.027586206896551724,0.0,0.010344827586206896,14.0
2022-02-26,1.0,1.0,1.0,0.0,0.006896551724137931,0.0034482758620689655,0.006896551724137931,0.04827586206896552,0.010344827586206896,0.03793103448275862,0.0,0.06206896551724138,40.0
2022-02-27,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.03103448275862069,0.0034482758620689655,0.027586206896551724,0.0,0.010344827586206896,15.0
2022-02-28,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.017241379310344827,0.0034482758620689655,0.010344827586206896,0.0,0.0034482758620689655,9.0
2022-03-03,1.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.08275862068965517,0.006896551724137931,0.06551724137931034,0.0,0.03793103448275862,39.0
2022-03-05,1.0,1.0,1.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.04827586206896552,0.010344827586206896,0.03793103448275862,0.0,0.07586206896551724,41.0
2022-03-06,1.0,0.0,0.0,0.0034482758620689655,0.017241379310344827,0.010344827586206896,0.010344827586206896,0.13793103448275862,0.010344827586206896,0.10344827586206896,0.0,0.020689655172413793,61.0
2022-03-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,1.0
