,osm_id,timestamp,name,type,geometry
0,34050780,,Museum van de Twintigste Eeuw,tourism,POINT (5.0624231 52.6350804)
1,47051205,,Avenhorn,traffic,POINT (5.0085054 52.6350184)
2,47056631,,,traffic,POINT (5.0578571 52.63695)
3,47060139,,,traffic,POINT (5.0572411 52.6381662)
4,47069901,,,traffic,POINT (5.0523931 52.6417891)
5,47071797,,,traffic,POINT (5.0403348 52.6424572)
6,47073867,,,traffic,POINT (5.0645687 52.643262)
7,47074099,,,traffic,POINT (5.0645504 52.6434037)
8,47075106,,,traffic,POINT (5.0516128 52.6439809)
9,47075794,,,traffic,POINT (5.0838133 52.6442028)
10,47076329,,Hoorn,traffic,POINT (5.0311797 52.6444139)
11,47076343,,,traffic,POINT (5.0841853 52.6444014)
12,47076372,,,traffic,POINT (5.0518923 52.6443518)
13,47076759,,,traffic,POINT (5.051485 52.6443778)
14,47076963,,,traffic,POINT (5.0545523 52.6446252)
15,47077200,,,traffic,POINT (5.0817843 52.6456291)
16,47077880,,Hoorn,traffic,POINT (5.0546461 52.6450893)
17,47080139,,,traffic,POINT (5.0343324 52.6456779)
18,47080156,,,traffic,POINT (5.0961325 52.6457239)
19,47081177,,,traffic,POINT (5.0812344 52.6458317)
20,47081536,,,traffic,POINT (5.0968648 52.6460559)
21,47082722,,,traffic,POINT (5.0408091 52.6467427)
22,47082987,,,traffic,POINT (5.0399078 52.6468379)
23,47085462,,,traffic,POINT (5.0370338 52.6480229)
24,47088856,,,traffic,POINT (5.049841 52.6493495)
25,47089151,,,traffic,POINT (5.0497401 52.6494722)
26,47089346,,,traffic,POINT (5.0513948 52.6498187)
27,47096655,,,traffic,POINT (5.0474339 52.652735)
28,47097804,,,traffic,POINT (5.0853898 52.6531698)
29,47098246,,,traffic,POINT (5.0646754 52.6533564)
30,47098309,,,traffic,POINT (5.0648599 52.653414)
31,47098506,,Hoorn,traffic,POINT (5.0377562 52.6533036)
32,47098594,,Hoorn Kersenboogerd,traffic,POINT (5.0849124 52.6533353)
33,47102685,,,traffic,POINT (5.0612838 52.6543906)
34,47104519,,,traffic,POINT (5.0594174 52.65512)
35,47108003,,,traffic,POINT (5.0777803 52.6562919)
36,47111160,,,traffic,POINT (5.0988107 52.6572917)
37,47131877,,,traffic,POINT (5.1069411 52.66379)
38,47136618,,,traffic,POINT (5.1048832 52.6651058)
39,47137273,,,traffic,POINT (5.1047816 52.6652904)
40,47137601,,Hoorn-Noord,traffic,POINT (5.0342572 52.6671876)
41,47148282,,,traffic,POINT (5.0562206 52.6688576)
42,283065535,,,traffic,POINT (5.0836985 52.6442802)
43,283198415,,,traffic,POINT (5.0804306 52.6574254)
44,283212413,,,traffic,POINT (5.0644666 52.6434715)
45,285588132,,,traffic,POINT (5.0861537 52.6525605)
46,288406011,,,traffic,POINT (5.0623649 52.667797)
47,288406036,,,traffic,POINT (5.0619037 52.6678489)
48,288406046,,,traffic,POINT (5.0622286 52.667528)
49,289460634,,Santé,public,POINT (5.0590461 52.6396581)
50,289460649,,Bella Italia,catering,POINT (5.0595544 52.6396641)
51,289460651,,Wijn & Spijshuis Vinck,catering,POINT (5.0595494 52.6396035)
52,289460653,,Café Fet,public,POINT (5.0595462 52.6395634)
53,289460654,,Ridderikhoff,catering,POINT (5.0595467 52.6394891)
54,289460655,,d’Oude Waegh,catering,POINT (5.0595412 52.6394264)
55,289460657,,,public,POINT (5.0596121 52.6391878)
56,289460659,,The Eighties,public,POINT (5.0595296 52.6391507)
57,289460666,,La Sfida,catering,POINT (5.0591316 52.6388957)
58,289465745,,ABN AMRO,money,POINT (5.0600791 52.6416279)
59,289471868,,De Kermis,public,POINT (5.0531445 52.6425396)
60,497257179,,Bibliotheek Kersenboogerd,public,POINT (5.0855652 52.6531693)
61,500293444,,,traffic,POINT (5.0855565 52.6528815)
62,500293447,,,traffic,POINT (5.086411 52.6512767)
63,500293589,,,money,POINT (5.0851532 52.6523856)
64,516018985,,,traffic,POINT (5.0743586 52.6489491)
65,527856386,,De Krijgsman,miscpoi,POINT (5.0998056 52.67085)
66,527856391,,Johan,miscpoi,POINT (5.1118795 52.636437)
67,529536410,,,traffic,POINT (5.0515847 52.6463501)
68,529536411,,,traffic,POINT (5.054202 52.6582061)
69,536797870,,Patio,bus_stop,POINT (5.0890571 52.6499776)
70,536797874,,Ceder,bus_stop,POINT (5.0929663 52.6508179)
71,536797878,,Glenn Millerhof,bus_stop,POINT (5.100451 52.6530802)
72,536797879,,Hoekstrahof,bus_stop,POINT (5.1050114 52.6549959)
73,536797880,,Breitnerhof,bus_stop,POINT (5.1077124 52.6520947)
74,536797881,,Charlotte van Pallandthof,bus_stop,POINT (5.1128382 52.6531442)
75,536797882,,Pissarrohof,bus_stop,POINT (5.1098491 52.6553418)
76,536797883,,Groene Steen,bus_stop,POINT (5.101084 52.6579459)
77,537589625,,Kersenboogerd Station,bus_stop,POINT (5.0855925 52.6530843)
78,537589627,,Kersenboogerd Station,bus_stop,POINT (5.0852926 52.6533225)
79,537589629,,Patio,bus_stop,POINT (5.0885153 52.6507402)
80,539122488,,Veemarkt,bus_stop,POINT (5.0551937 52.6428038)
81,539122490,,Gedempte Turfhaven,bus_stop,POINT (5.0595421 52.6424191)
82,539122491,,Draafsingel,bus_stop,POINT (5.0597159 52.6440151)
83,539122492,,Vollerswaal,bus_stop,POINT (5.0649337 52.6417141)
84,539122493,,Nieuwe Wal,bus_stop,POINT (5.069659 52.6409818)
85,539122495,,Julianaplein,bus_stop,POINT (5.0755182 52.6424067)
86,539122496,,Julianaplein,bus_stop,POINT (5.0731279 52.642166)
87,539122497,,Willemsweg,bus_stop,POINT (5.0787288 52.6430807)
88,539122502,,Amstelweg,bus_stop,POINT (5.0846261 52.64723)
89,539122503,,Amstelweg,bus_stop,POINT (5.0858305 52.6475466)
90,539122506,,Reaal,bus_stop,POINT (5.0950959 52.648271)
91,539122509,,Ceder,bus_stop,POINT (5.0928486 52.6508876)
92,539428895,,Dijklander Ziekenhuis,bus_stop,POINT (5.0538353 52.6464724)
93,539428900,,J.D. Pollstraat,bus_stop,POINT (5.0669404 52.6442934)
94,539428904,,Dijklander Ziekenhuis,bus_stop,POINT (5.0533652 52.6465517)
95,539428907,,Koepoortsweg,bus_stop,POINT (5.0568763 52.6470254)
